subject,block,type,rep,utterance,vowel,istarget,talker
99,1,b,1,1,UH,1,f3
99,1,b,1,2,AE,0,f3
99,1,b,1,3,EE,0,f3
99,1,b,1,4,AH,0,f3
99,1,b,1,5,EH,0,f3
99,1,b,1,6,AH,0,f3
99,1,b,1,7,AH,0,f3
99,1,b,1,8,OO,0,f3
99,1,b,1,9,OO,0,f3
99,1,b,1,10,EE,0,f3
99,1,b,1,11,AH,0,f3
99,1,b,1,12,UH,1,f3
99,1,b,1,13,AH,0,f3
99,1,b,1,14,AE,0,f3
99,1,b,1,15,IH,0,f3
99,1,b,1,16,EH,0,f3
99,2,ff,1,1,EE,0,f8
99,2,ff,1,2,OO,1,f7
99,2,ff,1,3,OO,1,f7
99,2,ff,1,4,AH,0,f7
99,2,ff,1,5,OO,1,f7
99,2,ff,1,6,UH,0,f7
99,2,ff,1,7,AE,0,f8
99,2,ff,1,8,EH,0,f8
99,2,ff,1,9,OO,1,f7
99,2,ff,1,10,IH,0,f7
99,2,ff,1,11,AH,0,f8
99,2,ff,1,12,AE,0,f7
99,2,ff,1,13,IH,0,f8
99,2,ff,1,14,IH,0,f8
99,2,ff,1,15,IH,0,f8
99,2,ff,1,16,AH,0,f8
99,2,mf,2,1,EH,0,m2
99,2,mf,2,2,IH,1,m2
99,2,mf,2,3,UH,0,m2
99,2,mf,2,4,AH,0,f6
99,2,mf,2,5,OO,0,f6
99,2,mf,2,6,AE,0,m2
99,2,mf,2,7,UH,0,f6
99,2,mf,2,8,AE,0,m2
99,2,mf,2,9,IH,1,m2
99,2,mf,2,10,EE,0,f6
99,2,mf,2,11,IH,1,f6
99,2,mf,2,12,UH,0,f6
99,2,mf,2,13,OO,0,f6
99,2,mf,2,14,EE,0,m2
99,2,mf,2,15,EE,0,m2
99,2,mf,2,16,IH,1,f6
99,2,b,3,1,EE,0,f8
99,2,b,3,2,AE,0,f8
99,2,b,3,3,IH,1,f8
99,2,b,3,4,EE,0,f8
99,2,b,3,5,IH,1,f8
99,2,b,3,6,AE,0,f8
99,2,b,3,7,UH,0,f8
99,2,b,3,8,OO,0,f8
99,2,b,3,9,AH,0,f8
99,2,b,3,10,EH,0,f8
99,2,b,3,11,EE,0,f8
99,2,b,3,12,IH,1,f8
99,2,b,3,13,UH,0,f8
99,2,b,3,14,IH,1,f8
99,2,b,3,15,EE,0,f8
99,2,b,3,16,OO,0,f8
99,2,ff,4,1,IH,0,f3
99,2,ff,4,2,EE,0,f6
99,2,ff,4,3,OO,1,f6
99,2,ff,4,4,AE,0,f3
99,2,ff,4,5,AE,0,f3
99,2,ff,4,6,AE,0,f6
99,2,ff,4,7,OO,1,f6
99,2,ff,4,8,OO,1,f3
99,2,ff,4,9,EH,0,f6
99,2,ff,4,10,IH,0,f6
99,2,ff,4,11,UH,0,f3
99,2,ff,4,12,IH,0,f6
99,2,ff,4,13,OO,1,f3
99,2,ff,4,14,IH,0,f3
99,2,ff,4,15,IH,0,f3
99,2,ff,4,16,EH,0,f6
99,2,mf,5,1,EE,0,f9
99,2,mf,5,2,IH,0,m3
99,2,mf,5,3,IH,0,m3
99,2,mf,5,4,EH,0,m3
99,2,mf,5,5,UH,1,f9
99,2,mf,5,6,UH,1,f9
99,2,mf,5,7,EH,0,m3
99,2,mf,5,8,IH,0,f9
99,2,mf,5,9,OO,0,m3
99,2,mf,5,10,UH,1,m3
99,2,mf,5,11,UH,1,m3
99,2,mf,5,12,IH,0,f9
99,2,mf,5,13,EE,0,m3
99,2,mf,5,14,OO,0,f9
99,2,mf,5,15,IH,0,f9
99,2,mf,5,16,EH,0,f9
99,3,b,1,1,OO,0,f7
99,3,b,1,2,AE,0,f7
99,3,b,1,3,AH,0,f7
99,3,b,1,4,UH,0,f7
99,3,b,1,5,IH,1,f7
99,3,b,1,6,EH,0,f7
99,3,b,1,7,OO,0,f7
99,3,b,1,8,AE,0,f7
99,3,b,1,9,OO,0,f7
99,3,b,1,10,EH,0,f7
99,3,b,1,11,EH,0,f7
99,3,b,1,12,OO,0,f7
99,3,b,1,13,UH,0,f7
99,3,b,1,14,AH,0,f7
99,3,b,1,15,IH,1,f7
99,3,b,1,16,EE,0,f7
99,3,b,2,1,UH,1,f1
99,3,b,2,2,AE,0,f1
99,3,b,2,3,AH,0,f1
99,3,b,2,4,IH,0,f1
99,3,b,2,5,AH,0,f1
99,3,b,2,6,AH,0,f1
99,3,b,2,7,EH,0,f1
99,3,b,2,8,OO,0,f1
99,3,b,2,9,UH,1,f1
99,3,b,2,10,AE,0,f1
99,3,b,2,11,EH,0,f1
99,3,b,2,12,IH,0,f1
99,3,b,2,13,AE,0,f1
99,3,b,2,14,IH,0,f1
99,3,b,2,15,AH,0,f1
99,3,b,2,16,UH,1,f1
99,3,b,3,1,EE,0,f5
99,3,b,3,2,AE,0,f5
99,3,b,3,3,OO,1,f5
99,3,b,3,4,UH,0,f5
99,3,b,3,5,OO,1,f5
99,3,b,3,6,AH,0,f5
99,3,b,3,7,AH,0,f5
99,3,b,3,8,UH,0,f5
99,3,b,3,9,EH,0,f5
99,3,b,3,10,UH,0,f5
99,3,b,3,11,OO,1,f5
99,3,b,3,12,UH,0,f5
99,3,b,3,13,OO,1,f5
99,3,b,3,14,EH,0,f5
99,3,b,3,15,UH,0,f5
99,3,b,3,16,AE,0,f5
99,3,b,4,1,OO,1,f4
99,3,b,4,2,OO,1,f4
99,3,b,4,3,AH,0,f4
99,3,b,4,4,IH,0,f4
99,3,b,4,5,UH,0,f4
99,3,b,4,6,OO,1,f4
99,3,b,4,7,AH,0,f4
99,3,b,4,8,IH,0,f4
99,3,b,4,9,AH,0,f4
99,3,b,4,10,IH,0,f4
99,3,b,4,11,AH,0,f4
99,3,b,4,12,EH,0,f4
99,3,b,4,13,OO,1,f4
99,3,b,4,14,EE,0,f4
99,3,b,4,15,EH,0,f4
99,3,b,4,16,EE,0,f4
99,3,b,5,1,OO,0,m2
99,3,b,5,2,OO,0,m2
99,3,b,5,3,UH,1,m2
99,3,b,5,4,UH,1,m2
99,3,b,5,5,OO,0,m2
99,3,b,5,6,AE,0,m2
99,3,b,5,7,EE,0,m2
99,3,b,5,8,AH,0,m2
99,3,b,5,9,UH,1,m2
99,3,b,5,10,AH,0,m2
99,3,b,5,11,AE,0,m2
99,3,b,5,12,EH,0,m2
99,3,b,5,13,EE,0,m2
99,3,b,5,14,AH,0,m2
99,3,b,5,15,AE,0,m2
99,3,b,5,16,AH,0,m2
99,3,b,6,1,AH,0,f3
99,3,b,6,2,OO,0,f3
99,3,b,6,3,EH,0,f3
99,3,b,6,4,AH,0,f3
99,3,b,6,5,UH,0,f3
99,3,b,6,6,EH,0,f3
99,3,b,6,7,IH,1,f3
99,3,b,6,8,AE,0,f3
99,3,b,6,9,IH,1,f3
99,3,b,6,10,OO,0,f3
99,3,b,6,11,IH,1,f3
99,3,b,6,12,EE,0,f3
99,3,b,6,13,AE,0,f3
99,3,b,6,14,AH,0,f3
99,3,b,6,15,IH,1,f3
99,3,b,6,16,OO,0,f3
99,3,b,7,1,OO,1,m1
99,3,b,7,2,EE,0,m1
99,3,b,7,3,AE,0,m1
99,3,b,7,4,EE,0,m1
99,3,b,7,5,EE,0,m1
99,3,b,7,6,OO,1,m1
99,3,b,7,7,IH,0,m1
99,3,b,7,8,EH,0,m1
99,3,b,7,9,EH,0,m1
99,3,b,7,10,EE,0,m1
99,3,b,7,11,OO,1,m1
99,3,b,7,12,EH,0,m1
99,3,b,7,13,AH,0,m1
99,3,b,7,14,IH,0,m1
99,3,b,7,15,EE,0,m1
99,3,b,7,16,EH,0,m1
99,3,b,8,1,IH,1,f9
99,3,b,8,2,EE,0,f9
99,3,b,8,3,AE,0,f9
99,3,b,8,4,UH,0,f9
99,3,b,8,5,AE,0,f9
99,3,b,8,6,AE,0,f9
99,3,b,8,7,AE,0,f9
99,3,b,8,8,IH,1,f9
99,3,b,8,9,AH,0,f9
99,3,b,8,10,EH,0,f9
99,3,b,8,11,IH,1,f9
99,3,b,8,12,OO,0,f9
99,3,b,8,13,UH,0,f9
99,3,b,8,14,UH,0,f9
99,3,b,8,15,IH,1,f9
99,3,b,8,16,EH,0,f9
99,3,b,9,1,AE,0,f8
99,3,b,9,2,UH,1,f8
99,3,b,9,3,OO,0,f8
99,3,b,9,4,EH,0,f8
99,3,b,9,5,EH,0,f8
99,3,b,9,6,UH,1,f8
99,3,b,9,7,AE,0,f8
99,3,b,9,8,EE,0,f8
99,3,b,9,9,AE,0,f8
99,3,b,9,10,UH,1,f8
99,3,b,9,11,OO,0,f8
99,3,b,9,12,IH,0,f8
99,3,b,9,13,EE,0,f8
99,3,b,9,14,AH,0,f8
99,3,b,9,15,AH,0,f8
99,3,b,9,16,EH,0,f8
99,3,b,10,1,OO,0,f2
99,3,b,10,2,IH,1,f2
99,3,b,10,3,IH,1,f2
99,3,b,10,4,AE,0,f2
99,3,b,10,5,EH,0,f2
99,3,b,10,6,AE,0,f2
99,3,b,10,7,OO,0,f2
99,3,b,10,8,EH,0,f2
99,3,b,10,9,IH,1,f2
99,3,b,10,10,AH,0,f2
99,3,b,10,11,EE,0,f2
99,3,b,10,12,EE,0,f2
99,3,b,10,13,AH,0,f2
99,3,b,10,14,UH,0,f2
99,3,b,10,15,IH,1,f2
99,3,b,10,16,UH,0,f2
99,3,b,11,1,EH,0,m3
99,3,b,11,2,OO,1,m3
99,3,b,11,3,OO,1,m3
99,3,b,11,4,OO,1,m3
99,3,b,11,5,UH,0,m3
99,3,b,11,6,IH,0,m3
99,3,b,11,7,AE,0,m3
99,3,b,11,8,AE,0,m3
99,3,b,11,9,AH,0,m3
99,3,b,11,10,IH,0,m3
99,3,b,11,11,AE,0,m3
99,3,b,11,12,OO,1,m3
99,3,b,11,13,EE,0,m3
99,3,b,11,14,EH,0,m3
99,3,b,11,15,EH,0,m3
99,3,b,11,16,AE,0,m3
99,3,b,12,1,EE,0,f6
99,3,b,12,2,EH,0,f6
99,3,b,12,3,AH,0,f6
99,3,b,12,4,AH,0,f6
99,3,b,12,5,EH,0,f6
99,3,b,12,6,UH,1,f6
99,3,b,12,7,EH,0,f6
99,3,b,12,8,AE,0,f6
99,3,b,12,9,EH,0,f6
99,3,b,12,10,IH,0,f6
99,3,b,12,11,AE,0,f6
99,3,b,12,12,IH,0,f6
99,3,b,12,13,OO,0,f6
99,3,b,12,14,OO,0,f6
99,3,b,12,15,UH,1,f6
99,3,b,12,16,UH,1,f6
99,3,b,13,1,AH,0,f4
99,3,b,13,2,EH,0,f4
99,3,b,13,3,EH,0,f4
99,3,b,13,4,OO,1,f4
99,3,b,13,5,UH,0,f4
99,3,b,13,6,AE,0,f4
99,3,b,13,7,AH,0,f4
99,3,b,13,8,UH,0,f4
99,3,b,13,9,AE,0,f4
99,3,b,13,10,OO,1,f4
99,3,b,13,11,UH,0,f4
99,3,b,13,12,OO,1,f4
99,3,b,13,13,AH,0,f4
99,3,b,13,14,AE,0,f4
99,3,b,13,15,AE,0,f4
99,3,b,13,16,OO,1,f4
99,3,b,14,1,UH,1,f6
99,3,b,14,2,AH,0,f6
99,3,b,14,3,AE,0,f6
99,3,b,14,4,AH,0,f6
99,3,b,14,5,AH,0,f6
99,3,b,14,6,AE,0,f6
99,3,b,14,7,EH,0,f6
99,3,b,14,8,AH,0,f6
99,3,b,14,9,AH,0,f6
99,3,b,14,10,UH,1,f6
99,3,b,14,11,UH,1,f6
99,3,b,14,12,EE,0,f6
99,3,b,14,13,UH,1,f6
99,3,b,14,14,EH,0,f6
99,3,b,14,15,AE,0,f6
99,3,b,14,16,EH,0,f6
99,3,b,15,1,AE,0,f8
99,3,b,15,2,OO,0,f8
99,3,b,15,3,IH,1,f8
99,3,b,15,4,EH,0,f8
99,3,b,15,5,EE,0,f8
99,3,b,15,6,IH,1,f8
99,3,b,15,7,AH,0,f8
99,3,b,15,8,IH,1,f8
99,3,b,15,9,OO,0,f8
99,3,b,15,10,EE,0,f8
99,3,b,15,11,UH,0,f8
99,3,b,15,12,EE,0,f8
99,3,b,15,13,AH,0,f8
99,3,b,15,14,IH,1,f8
99,3,b,15,15,EE,0,f8
99,3,b,15,16,AH,0,f8
99,3,b,16,1,OO,1,m1
99,3,b,16,2,IH,0,m1
99,3,b,16,3,UH,0,m1
99,3,b,16,4,OO,1,m1
99,3,b,16,5,IH,0,m1
99,3,b,16,6,AE,0,m1
99,3,b,16,7,EE,0,m1
99,3,b,16,8,AH,0,m1
99,3,b,16,9,IH,0,m1
99,3,b,16,10,OO,1,m1
99,3,b,16,11,AH,0,m1
99,3,b,16,12,EH,0,m1
99,3,b,16,13,EH,0,m1
99,3,b,16,14,AH,0,m1
99,3,b,16,15,IH,0,m1
99,3,b,16,16,UH,0,m1
99,4,mf,1,1,AH,0,m3
99,4,mf,1,2,IH,1,m3
99,4,mf,1,3,IH,1,m3
99,4,mf,1,4,AE,0,m3
99,4,mf,1,5,EE,0,f2
99,4,mf,1,6,IH,1,m3
99,4,mf,1,7,UH,0,f2
99,4,mf,1,8,UH,0,f2
99,4,mf,1,9,AH,0,f2
99,4,mf,1,10,IH,1,m3
99,4,mf,1,11,AH,0,m3
99,4,mf,1,12,EH,0,m3
99,4,mf,1,13,EE,0,f2
99,4,mf,1,14,OO,0,f2
99,4,mf,1,15,UH,0,f2
99,4,mf,1,16,EH,0,f2
99,4,mf,2,1,UH,1,f4
99,4,mf,2,2,OO,0,m1
99,4,mf,2,3,AH,0,f4
99,4,mf,2,4,EH,0,f4
99,4,mf,2,5,AH,0,m1
99,4,mf,2,6,EH,0,m1
99,4,mf,2,7,AH,0,m1
99,4,mf,2,8,AE,0,m1
99,4,mf,2,9,EH,0,f4
99,4,mf,2,10,AE,0,f4
99,4,mf,2,11,EE,0,f4
99,4,mf,2,12,EE,0,f4
99,4,mf,2,13,OO,0,m1
99,4,mf,2,14,UH,1,m1
99,4,mf,2,15,UH,1,m1
99,4,mf,2,16,EH,0,f4
99,4,mf,3,1,IH,1,m1
99,4,mf,3,2,EH,0,f9
99,4,mf,3,3,OO,0,f9
99,4,mf,3,4,OO,0,f9
99,4,mf,3,5,EE,0,m1
99,4,mf,3,6,EE,0,f9
99,4,mf,3,7,IH,1,m1
99,4,mf,3,8,EE,0,m1
99,4,mf,3,9,EH,0,f9
99,4,mf,3,10,EE,0,m1
99,4,mf,3,11,EH,0,f9
99,4,mf,3,12,IH,1,m1
